uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month,day
315,120171001872,Seminole High School,1201710,Seminole,2022-01-19,2021-2022,2022,12:00 PM,Wednesday,Sanford,FLORIDA,public,4062,0,1,1,targeted,16,m,b,student,NA,,NA,,,,NA,,1377,1134,975,385,14,11,166,0,9mm handgun,,28.7793,-81.283,149.07,9,12,2032,Seminole County,12,12117,13,Jan,19
317,421917006047,Oliver Citywide Academy,4219170,Pittsburgh Sd,2022-01-19,2021-2022,2022,1:45 PM,Wednesday,Pittsburgh,PENNSYLVANIA,public,105,1,0,1,targeted,NA,,,,NA,,NA,,,,NA,,9,85,0,0,0,0,11,0,,,40.464327,-80.024121,22.63,3,12,86,Allegheny County,42,42003,11,Jan,19
316,240048000808,Magruder High School,2400480,Montgomery County Public Schools,2022-01-21,2021-2022,2022,1:00 PM,Friday,Rockville,MARYLAND,public,1697,0,1,1,targeted,17,m,,student,NA,,NA,,,,NA,,436,302,671,210,3,0,75,0,,,39.1313,-77.1183,101.8,9,12,545,Montgomery County,24,24031,41,Jan,21
323,270002502871,South Education Center,2700025,Intermediate School District 287,2022-02-01,2021-2022,2022,12:07 PM,Tuesday,Richfield,MINNESOTA,public,71,1,1,2,targeted,19,m,h,student,NA,,18,m,h,,NA,,15,17,27,2,1,1,8,0,,,44.868045,-93.310844,8.2,PK,12,47,Hennepin County,27,27053,21,Feb,1
335,362010001839,Mount Vernon High School,3620100,Mount Vernon City School District,2022-02-08,2021-2022,2022,2:00 PM,Tuesday,Mount Vernon,NEW YORK,public,1302,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,45,974,262,11,6,2,2,0,,,40.9258,-73.8151,79.74,9,12,,Westchester County,36,36119,21,Feb,8
324,080615001357,Liberty Point International School,806150,Pueblo County School District 70,2022-02-22,2021-2022,2022,3:30 PM,Tuesday,Pueblo West,COLORADO,public,536,1,0,1,targeted,NA,,,police officer,NA,,NA,,,,NA,,256,4,227,0,4,2,43,0,service weapon,,38.3173,-104.7291,26,6,8,319,Pueblo County,8,8101,22,Feb,22
336,130123000473,Jonesboro High School,1301230,Clayton County School District,2022-02-28,2021-2022,2022,,Monday,Clayton County,GEORGIA,public,1383,0,0,0,unclear,NA,,,student,NA,,NA,,,,NA,,44,923,313,48,6,0,49,0,Loaded handgun,,33.5427,-84.3428,75.3,9,12,1286,Clayton County,13,13063,21,Feb,28
318,201014000040,Olathe East High School,2010140,Olathe School District,2022-03-04,2021-2022,2022,10:30 AM,Friday,Olathe,KANSAS,public,1957,0,2,2,targeted,18,m,b,student,NA,,NA,,,,NA,,1264,209,280,102,7,4,91,0,,,38.8959,-94.7539,117.3,9,12,482,Johnson County,20,20091,21,Mar,4
319,190897000528,East High School,1908970,Des Moines Public Schools,2022-03-07,2021-2022,2022,3:00 PM,Monday,Des Moines,IOWA,public,2204,1,2,3,indiscriminate,NA,,,,NA,,NA,,,,NA,,644,339,922,158,10,2,129,0,,,41.5969,-93.600681,97.1,9,12,1815,Polk County,19,19153,12,Mar,7
320,120039007984,North Gardens High School,1200390,Miami-Dade School District,2022-03-09,2021-2022,2022,1:30 PM,Wednesday,Miami Gardens,FLORIDA,public,335,0,3,3,indiscriminate,17,m,,,NA,,18,m,,,NA,,11,138,183,0,0,0,3,0,Glock,,25.938839,-80.276769,6,9,12,140,Miami-Dade County,12,12086,21,Mar,9
325,063255005018,De Anza High School,632550,West Contra Costa Unified,2022-03-11,2021-2022,2022,,Friday,Richmond,CALIFORNIA,public,1380,0,1,1,targeted,NA,,,student,NA,,NA,,,,NA,,106,308,665,243,4,10,44,0,,,37.969409,-122.288035,62.89,9,12,1063,Contra Costa County,6,6013,21,Mar,11
326,531011001690,Eisenhower High School,5310110,Yakima School District,2022-03-15,2021-2022,2022,3:00 PM,Tuesday,Yakima,WASHINGTON,public,1908,1,0,1,targeted,15,m,,student,NA,,NA,,,,NA,,447,11,1372,12,21,1,43,0,,,46.591635,-120.565796,97.97,9,12,1333,Yakima County,53,53077,13,Mar,15
339,380004600461,Mott-Regent School,3800046,Mott-Regent 1,2022-03-21,2021-2022,2022,,Wednesday,Hettinger County,NORTH DAKOTA,public,98,1,0,1,targeted,NA,m,,police officer,NA,,NA,,,,NA,,87,2,3,0,5,1,0,0,service pistol,,46.372185,-102.318612,15.5,7,12,43,Hettinger County,38,38041,43,Mar,21
329,510313001319,Rippon Middle School,5103130,Prince William Co Pblc Schs,2022-03-22,2021-2022,2022,11:00 AM,Thursday,Woodbridge,VIRGINIA,public,1371,0,0,0,indiscriminate,20,m,b,,NA,,NA,,,,NA,,127,519,498,140,2,5,80,0,rifle and shotgun,,38.6226,-77.2671,82.67,6,7,,Prince William County,51,51153,21,Mar,22
337,320006000114,Western High School,3200060,Clark County School District,2022-03-29,2021-2022,2022,2:15 PM,Tuesday,Las Vegas,NEVADA,public,2732,0,2,2,targeted,NA,,,school police officer,NA,,NA,,,,NA,,155,451,1969,49,1,21,86,0,,,36.176163,-115.202879,103,9,12,2732,Clark County,32,32003,11,Mar,29
333,280360000691,West Philadelphia Achievement Charter Elementary School,2803600,Philadelphia Public School Dis,2022-03-31,2021-2022,2022,9:00 AM,Thursday,Philadelphia,PENNSYLVANIA,public,470,0,0,0,accidental,8,m,,student,0,,NA,,,,NA,,60,382,6,10,8,0,4,0,,,32.780532,-89.105653,36.2,PK,6,470,Neshoba County,28,28099,33,Mar,31
321,450231001254,Tanglewood Middle,4502310,Greenville County School District,2022-03-31,2021-2022,2022,12:26 PM,Thursday,Greenville,SOUTH CAROLINA,public,868,1,0,1,targeted,12,m,,student,NA,,NA,,,,NA,,105,351,379,0,4,0,29,0,handgun,,34.824083,-82.46882,45,6,8,868,Greenville County,45,45045,41,Mar,31
332,390483303211,Lowellville Junior/Senior High School,3904833,Lowellville Local,2022-04-05,2021-2022,2022,10:00 AM,Thursday,Lowellville,OHIO,public,219,0,0,0,public suicide,NA,,,student,NA,,NA,,,,NA,,191,9,15,0,0,0,4,0,,,41.044822,-80.552325,18.46,7,12,,Mahoning County,39,39099,21,Apr,5
322,420930007612,Erie High School,4209300,Erie City Shool District,2022-04-05,2021-2022,2022,9:20 AM,Tuesday,Erie,PENNSYLVANIA,public,2267,0,1,1,targeted,14,m,,student,NA,,NA,,,,NA,,803,912,317,111,4,1,119,0,9mm handgun,,42.101896000000004,-80.082293,153.25,9,12,2264,Erie County,42,42049,13,Apr,5
334,050002600867,Pine Bluff High School,500026,Pine Bluff School District,2022-04-11,2021-2022,2022,2:45 PM,Monday,Pine Bluff,ARKANSAS,public,892,0,0,0,unclear,NA,m,,student,NA,,NA,,,,NA,,21,851,16,1,0,0,3,1,,,34.219096,-92.010781,58.17,9,12,892,Jefferson County,5,5069,13,Apr,11
340,253426,Edmund Burke School,NA,,2022-04-22,2021-2022,2022,3:18 PM,Friday,Washington,DISTRICT OF COLUMBIA,private,300,0,4,4,indiscriminate,23,m,,,1,,NA,,,,NA,,NA,,,NA,NA,NA,NA,0,sniper rifle,,38.94304098,-77.06209293,NA,,,,District of Columbia,11,11001,11,Apr,22
338,262540000932,Aspen Ridge Elementary School,2625400,Nice Community School District,2022-04-26,2021-2022,2022,1:30 PM,Tuesday,West Ishpeming,MICHIGAN,public,753,0,0,0,public suicide,NA,m,,student,NA,,NA,,,,NA,,706,3,6,5,12,5,16,0,,,46.4805,-87.7289,50.95,KG,8,264,Marquette County,26,26103,41,Apr,26
344,482364002562,Heights High School,4823640,The Houston Independent School District,2022-05-12,2021-2022,2022,1:15 PM,Thursday,Houston,TEXAS,public,2450,0,1,1,targeted,17,m,,student,NA,,NA,,,,NA,,257,296,1841,23,3,2,28,0,AK pistol,,29.795384,-95.3935,123.15,9,12,1613,Harris County,48,48201,11,May,12
343,120150002783,Alexander W. Dreyfoos School Of Arts,1201500,Palm Beach County,2022-05-13,2021-2022,2022,11:58 AM,Friday,West Palm Beach,FLORIDA,public,1363,1,0,1,targeted,NA,f,,off-duty police officer,NA,,NA,,,,NA,,710,125,326,127,3,0,72,0,,,26.709238,-80.059481,65,9,12,327,Palm Beach County,12,12099,12,May,13
328,170993000709,Walt Disney Magnet School,1709930,City Of Chicago Sd 299,2022-05-17,2021-2022,2022,10:00 AM,Tuesday,Chicago,ILLINOIS,public,1536,0,1,1,accidental,8,m,,student,0,,NA,,,,NA,,231,738,317,177,9,3,61,0,,,41.9568,-87.6469,91,PK,8,865,Cook County,17,17031,11,May,17
342,483042003425,Mexia High School,4830420,Mexia Independent School District,2022-05-17,2021-2022,2022,11:20 AM,Monday,Mexia,TEXAS,public,531,0,0,0,unclear,17,m,,student,NA,,NA,,,,NA,,97,134,280,9,0,1,12,0,,,31.696012,-96.473307,42.8,9,12,431,Limestone County,48,48293,33,May,17
327,484372004970,Robb Elementary School,4843720,Uvalde Cisd,2022-05-24,2021-2022,2022,11:33 AM,Tuesday,Uvalde,TEXAS,public,538,21,12,33,indiscriminate,18,m,h,,NA,,NA,,,,NA,,47,6,516,0,0,0,2,0,,,29.199304,-99.78812,34.53,3,4,438,Uvalde County,48,48463,33,May,24
348,062271003052,Ulysses S. Grant High School,622710,Los Angeles Unified School District,2022-06-01,2021-2022,2022,3:25 PM,Wednesday,Los Angeles,CALIFORNIA,public,1886,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,732,58,1010,61,5,2,18,0,,,34.177798,-118.415327,94.35,9,12,2609,Los Angeles County,6,6037,11,Jun,1
347,010162000565,Walnut Park Elementary,101620,Gadsden City,2022-06-09,2022-2023,2022,9:30 AM,Thursday,Gadsden,ALABAMA,public,203,1,1,2,targeted,NA,,,police officer,NA,,NA,,,,NA,,118,48,35,1,1,0,0,0,,,34.0107,-86.0562,13.46,PK,5,252,Etowah County,1,1055,13,Jun,9
345,064074006734,John Finney High School,640740,Vallejo City Unified District,2022-07-20,2022-2023,2022,9:25 AM,Wednesday,Vallejo,CALIFORNIA,public,135,0,0,0,unclear,NA,m,Hispanic,,NA,,NA,,,,NA,,9,53,65,4,0,2,2,0,,,38.111902,-122.243859,7.12,9,12,93,Solano County,6,6095,12,Jul,20
349,062805004278,Madison Park Academy,628050,Oakland Unified School District,2022-08-29,2022-2023,2022,1:30 PM,Monday,Oakland,CALIFORNIA,public,754,0,1,1,accidental,12,m,,student,0,,NA,,,,NA,,5,117,589,15,1,22,5,0,,,37.727297,-122.178837,45.3,6,12,694,Alameda County,6,6001,11,Aug,29
350,240009000280,Mergenthaler Vocational Technical High School,2400090,Baltimore City Public Schools District,2022-09-02,2022-2023,2022,3:00 PM,Friday,Baltimore,MARYLAND,public,1785,1,0,1,targeted,17,m,,student,NA,,NA,,,,NA,,51,1577,145,6,0,1,5,0,handgun,,39.3322,-76.5911,105.5,9,12,1187,Baltimore City,24,24510,11,Sep,2
351,120129008739,Treasure Cost Classical Academy,1201290,Martin District,2022-09-19,2022-2023,2022,,Monday,Stuart,FLORIDA,public,1030,0,0,0,accidental,NA,m,w,school resource deputy,0,,NA,,,,NA,,818,25,130,20,1,1,35,0,handgun,,27.120513,-80.234928,67,KG,12,153,Martin County,12,12085,21,Sep,19
352,271878000880,Mankato West High School,2718780,Mankoto Public School District,2022-09-20,2022-2023,2022,12:00 PM,Tuesday,Mankoto,MINNESOTA,public,1243,0,0,0,suicide,NA,m,,student,NA,,NA,,,,NA,,993,121,59,28,2,59,39,0,,,44.159231,-94.017529,55.56,9,12,259,Blue Earth County,27,27013,13,Sep,20
353,062805007326,Rudsdale High School,628050,Oakland Unified School District,2022-09-28,2022-2023,2022,12:45 PM,Wednesday,Oakland,CALIFORNIA,public,294,0,6,6,indiscriminate,NA,,,,NA,,NA,,,,NA,,1,56,229,3,0,3,2,0,,,37.76573,-122.153923,17.8,9,12,255,Alameda County,6,6001,11,Sep,28
354,250279000261,Jeremiah E. Burke High School,2502790,Boston Public Schools Library And Media Services,2022-10-04,2022-2023,2022,9:30 AM,Tuesday,Dorchester,MASSACHUSETTS,public,390,0,1,1,targeted,17,m,,student,NA,,NA,,,,NA,,15,232,126,3,0,3,11,0,,,42.306942,-71.081648,34.89,9,12,,Suffolk County,25,25025,11,Oct,4
355,550960002700,James Madison Academic Campus,5509600,Milwaukee Public Schools,2022-10-10,2022-2023,2022,3:30 PM,Monday,Milwaukee,WISCONSIN,public,699,0,1,1,unclear,NA,,,,NA,,NA,,,,NA,,10,625,29,21,0,0,14,0,,,43.1261,-88.0128,41.8,9,12,699,Milwaukee County,55,55079,11,Oct,10
356,292928002013,Central Visual And Performing Arts High School,2929280,St. Louis City,2022-10-24,2022-2023,2022,9:10 AM,Monday,St. Louis,MISSOURI,public,380,2,7,9,indiscriminate,19,m,b,,NA,,NA,,,,NA,,56,289,26,6,1,0,2,0,,,38.604372,-90.270897,26.45,9,12,377,St. Louis City,29,29510,11,Oct,24
357,530771001187,Ingraham High School,5307710,Seattle School District No. 1,2022-11-08,2022-2023,2022,,Tuesday,Seattle,WASHINGTON,public,1483,1,0,1,targeted,14,m,,student,NA,,15,m,,student,NA,,762,155,235,147,7,5,166,0,handgun,,47.7257,-122.3369,72.41,9,12,186,King County,53,53033,11,Nov,8
358,170492000182,Ball Elementary School,1704920,Ball Chatham Cusd 5,2022-11-11,2022-2023,2022,1:26 PM,Tuesday,Ball,LOUISIANA,public,606,0,2,2,targeted,NA,,,,NA,,NA,,,,NA,,473,39,22,24,1,0,47,0,,,39.6716,-89.629,36.32,PK,4,,Sangamon County,17,17167,41,Nov,11
359,181059001739,South Vermillion High School,1810590,South Vermillion Com Sch Corp,2022-11-17,2022-2023,2022,9:30 AM,Thursday,Clinton,INDIANA,public,535,0,1,1,accidental,NA,m,,sheriff deputy,0,,NA,,,,NA,,506,4,12,0,0,1,12,1,handgun,,39.689,-87.4138,37.74,9,12,195,Vermillion County,18,18165,31,Nov,17
360,470014802565,Freedom Preparatory High School,4700148,Shelby County,2022-12-05,2022-2023,2022,12:27 PM,Monday,Memphis,TENNESSEE,public,288,0,1,1,accidental,15,m,,student,0,,NA,,,,NA,,1,233,49,0,0,0,5,0,,,35.032022,-90.036586,14.84,6,8,156,Shelby County,47,47157,11,Dec,5
361,240051001164,Suitland High School,2400510,Prince George's County Public Schools,2022-12-08,2022-2023,2022,10:00 AM,Thursday,Forestville,MARYLAND,public,2047,0,1,1,targeted,16,m,,student,NA,,NA,,,,NA,,28,1806,185,4,5,4,15,0,,,38.853645,-76.917277,133,9,12,807,Prince George's County,24,24033,21,Dec,8
364,370472001860,Fuquay-Varina Middle School,3704720,Wake County Schools,2022-12-08,2022-2023,2022,8:03 AM,Thursday,Fuquay-Varina,NORTH CAROLINA,public,1157,0,0,0,accidental,12,,,student,NA,,NA,,,,NA,,694,183,210,18,6,3,43,0,,,35.585093,-78.793497,65.5,6,8,196,Wake County,37,37183,21,Dec,8
362,411004000958,Cleveland High School,4110040,Portland County Schools,2022-12-12,2022-2023,2022,12:30 PM,Monday,Portland,OREGON,public,1625,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,1062,42,150,138,2,6,198,0,,,45.4985,-122.6391,80.56,9,12,148,Multnomah County,41,41051,11,Dec,12
371,362475006711,Benjamin Franklin High School,3624750,Rochester City School District,2023-01-05,2022-2023,2023,,Thursday,Rochester,NEW YORK,public,1029,0,0,0,targeted,NA,,,,NA,,NA,,,,NA,,83,574,349,18,1,0,4,0,,,43.188169,-77.597958,108.7,9,12,941,Monroe County,36,36055,12,Jan,5
365,390438000590,Beechcroft High School,3904380,Columbus City School District,2023-01-06,2022-2023,2023,11:30 AM,Thursday,Columbus,OHIO,public,630,0,0,0,unclear,15,,,student,NA,,NA,,,,NA,,53,375,141,30,1,1,29,0,,,40.0942,-82.9647,44,9,10,,Franklin County,39,39049,11,Jan,6
363,510264001071,Richneck Elementary School,5102640,Newport News City Of Public Schools,2023-01-06,2022-2023,2023,2:00 PM,Friday,Newport News,VIRGINIA,public,586,0,1,1,targeted,6,m,,student,NA,,NA,,,,NA,,141,275,86,20,0,2,62,0,handgun,,37.1564,-76.5237,31,KG,5,492,Newport News City,51,51700,12,Jan,6
366,100023000209,William Penn High School,1000230,Colonial School District,2023-01-10,2022-2023,2023,11:40 AM,Monday,New Castle,DELAWARE,public,2270,0,0,0,accidental,16,m,,student,NA,,NA,,,,NA,,551,1074,511,47,11,11,65,0,handgun,,39.668622,-75.584879,128,9,12,,New Castle County,10,10003,21,Jan,10
372,220027702434,Booker T. Washington High School,2200277,Kipp Booker T Washington,2023-01-10,2022-2023,2023,3:30 PM,Tuesday,New Orleans,LOUISIANA,public,736,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,1,700,34,0,1,0,0,0,,,29.94991,-90.08925,56,9,12,583,Orleans Parish,22,22071,11,Jan,10
373,BB081130,Plaza Academy,NA,,2023-01-24,2022-2023,2023,12:34 PM,Tuesday,Kansas City,MISSOURI,private,50,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,NA,,,NA,NA,NA,NA,0,,,39.0554877,-94.59127529,NA,9,12,,Jackson County,29,29095,11,Jan,24
367,490036000764,Taylorsville High School,4900360,Granite District,2023-01-26,2022-2023,2023,,Thursday,Taylorsville,UTAH,public,2764,0,0,0,targeted,NA,,,student,NA,,NA,,,,NA,,1359,90,1041,115,26,95,38,0,,,40.655508,-111.936978,102.81,9,12,1127,Salt Lake County,49,49035,21,Jan,26
368,040963002775,Gila Ridge High School,409630,Yuma Union High School District,2023-01-30,2022-2023,2023,8:30 AM,Monday,Yuma,ARIZONA,public,2158,0,2,2,unclear,NA,,,,NA,,NA,,,,NA,,672,31,1373,15,13,6,48,0,,,32.6857,-114.5107,83.7,9,12,1208,Yuma County,4,4027,41,Jan,30
370,401257000587,Geary Elementary School,4012570,Geary,2023-01-31,2022-2023,2023,,Tuesday,Geary,OKLAHOMA,public,149,0,0,0,accidental,NA,,,parent of student,NA,,NA,,,,NA,,71,5,19,0,43,0,11,0,rifle,legally purchased by shooter,35.629468,-98.324487,15.2,PK,5,130,Blaine County,40,40011,43,Jan,31
369,170010905367,Ridgeview Jr. High School,1700109,Ridgeview Cusd 19,2023-02-02,2022-2023,2023,10:00 AM,Thursday,Pickerington,OHIO,public,143,0,0,0,targeted,NA,m,,,NA,,NA,,,,NA,,129,2,3,0,0,0,9,0,,,40.5638,-88.6136,6.7,6,10,60,Mclean County,17,17113,42,Feb,2
375,360010306362,Ps 78,3600103,New York City Geographic District #31,2023-02-13,2022-2023,2023,12:35 PM,Monday,Staten Island,NEW YORK,public,594,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,25,242,280,22,8,10,7,0,,,40.6223,-74.0787,54.14,PK,5,569,Richmond County,36,36085,11,Feb,13
376,421917007412,Westinghouse Academy,4219170,Pittsburgh Sd,2023-02-14,2022-2023,2023,,Tuesday,Pittsburgh,PENNSYLVANIA,public,679,0,4,4,unclear,NA,,,,NA,,NA,,,,NA,,11,627,10,1,3,0,27,0,,,40.4609,-79.9012,63.7,6,12,676,Allegheny County,42,42003,11,Feb,14
377,480813000170,Palo Duro High School,4808130,Amarillo Isd,2023-03-06,2022-2023,2023,2:00 PM,Monday,Amarillo,TEXAS,public,1895,0,1,1,unclear,NA,,,,NA,,NA,,,,NA,,203,347,1083,211,7,6,38,0,,,35.228498,-101.824434,131,9,12,1499,Potter County,48,48375,12,Mar,6
378,480870000253,Lamar High School,4808700,Arlington Isd,2023-03-20,2022-2023,2023,6:55 AM,Monday,Arlington,TEXAS,public,868,1,1,2,unclear,NA,m,,student,NA,,NA,,,,NA,,385,901,"1,107",65,13,3,67,0,,,32.763804,-97.125993,166.97,9,12,"1,820",Tarrant County,48,48439,11,Mar,20
381,010009000011,Anniston High School,100090,Anniston City,2023-03-22,2022-2023,2023,12:45 PM,Wednesday,Anniston,ALABAMA,public,450,0,1,1,accidental,NA,,,student,NA,,NA,,,,NA,,21,387,30,0,0,0,12,0,,,33.6612,-85.82,25.5,9,12,387,Calhoun County,1,1015,13,Mar,22
379,080336000338,East High School,803360,School District No. 1 In The County Of Denver And State Of Colorado,2023-03-22,2022-2023,2023,9:55 AM,Wednesday,Denver,COLORADO,public,2589,0,2,2,targeted,17,m,b,student,1,suicide,NA,,,,NA,,1325,417,571,63,6,8,199,0,ghost gun,,39.7416,-104.9557,123.63,9,12,743,Denver County,8,8031,11,Mar,22
382,180660001162,Northridge Middle School,1806600,Middlebury Community Schools,2023-03-24,2022-2023,2023,,Friday,Middlebury,INDIANA,public,1002,0,0,0,public suicide,NA,,,staff member,1,suicide,NA,,,,NA,,831,19,107,9,NA,1,35,0,,,41.672866,-85.726857,68.5,6,8,266,Elkhart County,18,18039,41,Mar,24
380,A0503352,The Covenant School,NA,,2023-03-27,2022-2023,2023,10:13 AM,Monday,Nashville,TENNESSEE,private,200,6,0,6,indiscriminate,28,f,w,former student,1,police shooting,NA,,,,NA,,112,3,0,1,0,0,0,0,,,36.09286762,-86.82526612,15,PK,6,,Davidson County,47,47037,11,Mar,27
383,510324002081,George Wythe High School,5103240,Richmond City Pblc Schs,2023-04-27,2022-2023,2023,12:02 PM,Thursday,Richmond,VIRGINIA,public,1296,0,2,2,targeted,18,m,,student,NA,,NA,,,,NA,,32,598,652,3,0,0,11,0,,,37.510274,-77.483075,71.84,9,12,1116,Richmond City,51,51760,12,Apr,27
384,470222000822,West High School,4702220,Knox County,2023-04-28,2022-2023,2023,9:20 AM,Friday,Knoxville,TENNESSEE,public,1525,0,1,1,accidental,14,m,,student,NA,,NA,,,,NA,,909,305,187,23,0,3,98,0,handgun,,35.9485,-83.973,85.5,9,12,303,Knox County,47,47093,12,Apr,28
385,260019501104,International Academy Of Flint K12,2600195,International Academy Of Flint,2023-05-02,2022-2023,2023,3:30 PM,Tuesday,Flint,MICHIGAN,public,927,0,1,1,targeted,27,f,,parent,NA,,NA,,,,NA,,36,800,12,0,7,0,72,0,,,42.9966,-83.6785,49,PK,12,787,Genesee County,26,26049,13,May,2
388,320006000029,Von Tobel Ed Ms,3200060,Clark County School District,2023-05-08,2022-2023,2023,12:30 PM,Monday,Las Vegas,NEVADA,public,868,0,1,1,accidental,18,m,,,NA,,NA,,,,NA,,25,128,867,6,2,6,17,0,,,36.20418,-115.097412,NA,6,8,1051,Clark County,32,32003,21,May,8
386,421899007517,E. Washington Rhodes Elementary School,4218990,Philadelphia City Sd,2023-05-08,2022-2023,2023,11:30 AM,Monday,Philadelphia,PENNSYLVANIA,public,406,0,0,0,accidental,NA,,,student,NA,,NA,,,,NA,,4,370,20,0,3,0,9,0,,,40.0028,-75.1781,41.37,KG,8,403,Philadelphia County,42,42101,11,May,8
387,110003000008,Roosevelt High School,1100030,District Of Columbia Public Schools,2023-05-17,2022-2023,2023,2:25 PM,Wednesday,Washington,DISTRICT OF COLUMBIA,public,797,1,0,1,unclear,NA,,,,NA,,NA,,,,NA,,6,432,354,4,0,0,1,0,,,38.942971,-77.029177,67.9,9,12,392,District Of Columbia,11,11001,11,May,17
390,00600937,St. John's Prep,NA,,2023-05-22,2022-2023,2023,,Monday,Danvers,MASSACHUSETTS,private,1446,0,0,0,accidental,NA,m,,police officer,NA,,NA,,,,NA,,1186,50,140,50,0,10,10,0,,,42.5826821,-70.95260296,176.3,6,12,,Essex County,25,25009,21,May,22
389,421917006047,Oliver Citywide Academy,4219170,Pittsburgh Sd,2023-05-24,2022-2023,2023,7:30 AM,Wednesday,Pittsburgh,PENNSYLVANIA,public,106,1,0,1,targeted,15,m,,student,NA,,NA,,,,NA,,9,82,2,1,0,0,12,0,,,40.464327,-80.024121,22.63,3,12,88,Allegheny County,42,42003,11,May,24
391,260021001494,Michigan Collegiate High School,2600210,Conner Creek Academy East,2023-06-05,2022-2023,2023,2:40 PM,Monday,Warren,MICHIGAN,public,643,0,0,0,targeted,22,m,b,associate of student,NA,,NA,,,,NA,,3,628,2,4,0,0,6,0,handgun,,42.522585,-83.066681,24.84,6,12,595,Macomb County,26,26099,12,Jun,5
392,130438001533,Josey High School,1304380,Richmond County,2023-08-16,2023-2024,2023,11:00 AM,Wednesday,Augusta,GEORGIA,public,692,0,1,1,targeted,NA,,,student,NA,,NA,,,,NA,,15,615,49,1,0,0,12,0,,,33.4553,-82.0003,38.8,9,12,,Richmond County,13,13245,12,Aug,16
393,220147001154,St. Helena College And Career Academy,2201470,St. Helena Parish,2023-09-12,2023-2024,2023,3:00 PM,Tuesday,Greensburg,LOUISIANA,public,513,1,2,3,unclear,14,,,student,NA,,NA,,,,NA,,27,472,9,0,0,0,5,0,,,30.8274,-90.6714,23,7,12,456,ST. Helena Parish,22,22091,42,Sep,12
394,240009000168,Carver Vocational-Technical High School,2400090,Baltimore City Public Schools,2023-10-27,2023-2024,2023,7:45 AM,Friday,Baltimore,MARYLAND,public,1107,0,3,3,unclear,NA,,,,NA,,NA,,,,NA,,19,"1,052",26,3,1,1,5,0,,,39.3045,-76.6527,57,9,12,845,Baltimore City,24,24510,11,Oct,27
395,240012000382,Edmondson Heights Elementary School,2400120,Baltimore County Public Schools,2023-10-24,2023-2024,2023,3:30 PM,Tuesday,Baltimore,MARYLAND,public,531,0,1,1,unclear,NA,,,,NA,,NA,,,,NA,,40,345,87,29,4,0,26,0,,,39.2989,-76.7193,33.27,PK,5,294,Baltimore County,24,24005,21,Oct,24
396,180020602669,Kipp Indy Legacy High School,1800206,Kipp Indy Legacy High,2023-11-03,2023-2024,2023,1:00 PM,Friday,Indianapolis,INDIANA,public,304,1,0,1,targeted,NA,,,,NA,,NA,,,,NA,,12,240,40,0,0,0,12,0,,,39.798199,-86.13026,27,9,11,290,Marion County,18,18097,11,Nov,3
397,480894000350,Northeast Early College High School,4808940,Austin Isd,2023-12-05,2023-2024,2023,10:40 AM,Tuesday,Austin,TEXAS,public,1015,0,1,1,unclear,NA,,,,NA,,NA,,,,NA,,29,129,824,19,2,1,11,0,,,30.324213,-97.691048,71.91,9,12,913,Travis County,48,48453,11,Dec,5
398,192253001355,Perry High School,1922530,Perry Comm School District,2024-01-04,2023-2024,2024,7:37 AM,Thursday,Perry,IOWA,public,573,0,3,3,unclear,NA,,,,1,suicide,NA,,,,NA,,205,15,330,4,1,1,17,0,,,41.840737,-94.080785,39.78,9,12,294,Dallas County,19,19049,32,Jan,4
399,010237000962,John L Leflore Magnet School,102370,Mobile County,2024-01-30,2023-2024,2024,12:03 PM,Tuesday,Mobile,ALABAMA,public,618,0,2,2,targeted,16,f,,student,NA,,NA,,,,NA,,2,590,14,0,3,0,9,0,handgun,,30.7142,-88.0865,42,9,12,516,Mobile County,1,1097,12,Jan,30
400,060133201987,Grant Union High School,601332,Twin Rivers Unified,2024-01-30,2023-2024,2024,10:00 AM,Tuesday,Sacramento,CALIFORNIA,public,2040,0,1,1,unclear,14,m,,,NA,,NA,,,,NA,,97,303,1077,366,10,60,122,0,,,38.636213,-121.435059,95.37,9,12,1805,Sacramento County,6,6067,11,Jan,30
401,470318001696,Haynes Middle School,4703180,Davidson County,2024-01-31,2023-2024,2024,,Wednesday,Nashville,TENNESSEE,public,291,0,0,0,unclear,13,,,student,NA,,NA,,,,NA,,25,231,27,0,0,0,8,0,handgun,,36.2074,-86.7889,20.54,6,8,,Davidson County,47,47037,11,Jan,31
